artist,genre,track_name,year
MHD,hip-hop,Afro Trap Pt. 3 (Champions League),2016
Post Malone,hip-hop,Congratulations,2016
Quavo,hip-hop,Congratulations,2016
Maikel Delacalle,hip-hop,Ganas,2016
Kase.O,hip-hop,"Pavos Reales (con Hermano L, Shabu One Shant y Mcklopedia)",2016
Hermano L,hip-hop,"Pavos Reales (con Hermano L, Shabu One Shant y Mcklopedia)",2016
Shabu One Shant,hip-hop,"Pavos Reales (con Hermano L, Shabu One Shant y Mcklopedia)",2016
McKlopedia,hip-hop,"Pavos Reales (con Hermano L, Shabu One Shant y Mcklopedia)",2016
Dvice,hip-hop,Hablame 2,2016
Alex Kyza,hip-hop,Hablame 2,2016
Darkiel,hip-hop,Hablame 2,2016
Ñengo Flow,hip-hop,Hablame 2,2016
Anuel AA,hip-hop,Hablame 2,2016
Bryant Myers,hip-hop,Hablame 2,2016
Lary Over,hip-hop,Hablame 2,2016
Almighty,hip-hop,Hablame 2,2016
Juanka,hip-hop,Hablame 2,2016
Kase.O,hip-hop,Yemen,2016
Kase.O,hip-hop,Esto No Para,2016
Rels B,hip-hop,Baila Más,2016
Javier Simon,hip-hop,Baila Más,2016
Natos y Waor,hip-hop,Por ti,2016
Anuel AA,hip-hop,Check,2016
PNL,hip-hop,Uranus,2016
Arcángel,hip-hop,Me Llamas,2016
Mark B.,hip-hop,Me Llamas,2016
De La Ghetto,hip-hop,Me Llamas,2016
Bad Bunny,hip-hop,Me Llamas,2016
Amenazzy,hip-hop,Me Llamas,2016
Kase.O,hip-hop,Mitad y Mitad (con Najwa),2016
Najwa,hip-hop,Mitad y Mitad (con Najwa),2016
Drake,hip-hop,Too Good,2016
Rihanna,hip-hop,Too Good,2016
Kaze,hip-hop,Obsceno,2016
Kase.O,hip-hop,Mazas y Catapultas,2016
Drake,hip-hop,9,2016
Kase.O,hip-hop,Outro,2016
Rvssian,hip-hop,Privado,2016
Nicky Jam,hip-hop,Privado,2016
Farruko,hip-hop,Privado,2016
Arcángel,hip-hop,Privado,2016
Konshens,hip-hop,Privado,2016
Arce,hip-hop,T.H.C.,2016
ieathumns,hip-hop,Made In Taiwan,2016
Anuel AA,hip-hop,Nunca Sapo,2016
Yomo,hip-hop,Juguetona - Remix,2016
Wisin,hip-hop,Juguetona - Remix,2016
Farruko,hip-hop,Juguetona - Remix,2016
"Tito ""El Bambino""",hip-hop,Juguetona - Remix,2016
Darell,hip-hop,Ninguno Se Monta,2016
Anuel AA,hip-hop,Ninguno Se Monta,2016
Tempo,hip-hop,Ninguno Se Monta,2016
Juanka,hip-hop,Ninguno Se Monta,2016
Lito Kirino,hip-hop,Ninguno Se Monta,2016
Bryant Myers,hip-hop,Ninguno Se Monta,2016
Kanye West,hip-hop,Saint Pablo,2016
Cosculluela,hip-hop,Black Ops,2016
Kaze,hip-hop,Venga Lo Que Venga,2016
LFAM,hip-hop,Gang Banger,2016
Dudu,hip-hop,Gang Banger,2016
Charflex,hip-hop,Gang Banger,2016
Kase.O,hip-hop,Amor Sin Cláusulas,2016
Natos y Waor,hip-hop,Rara Avis,2016
Canserbero,hip-hop,Buenas Noches,2016
NicoJP,hip-hop,Buenas Noches,2016
Drake,hip-hop,Feel No Ways,2016
Meek Mill,hip-hop,Blue Notes,2016
Kase.O,hip-hop,Repartiendo Arte,2016
Soge,hip-hop,Entra,2016
Arce,hip-hop,Freya,2016
Denom,hip-hop,Freya,2016
Brytiago,hip-hop,Punto G,2016
Darell,hip-hop,Punto G,2016
Kaze,hip-hop,Rap,2016
Natos y Waor,hip-hop,Elegante (feat. Ivan Cano),2016
Ivan Cano,hip-hop,Elegante (feat. Ivan Cano),2016
Liana Malva,hip-hop,Te quiero,2016
Canserbero,hip-hop,Te quiero,2016
Solo Soul,hip-hop,Te quiero,2016
Farruko,hip-hop,Así Crecí,2016
Young Thug,hip-hop,Digits,2016
Travis Scott,hip-hop,coordinate,2016
Myke Towers,hip-hop,Día de Cobro,2016
Arce,hip-hop,Shaula,2016
Shotta,hip-hop,Recuerdo,2016
Natos,hip-hop,Recuerdo,2016
Waor,hip-hop,Recuerdo,2016
Mad Division,hip-hop,Recuerdo,2016
Trap Capos,hip-hop,"Como Glopeta (feat. Gigolo y La Exce, Miky Woodz, Juhn & Baby Angel)",2016
Noriel,hip-hop,"Como Glopeta (feat. Gigolo y La Exce, Miky Woodz, Juhn & Baby Angel)",2016
Gigolo Y La Exce,hip-hop,"Como Glopeta (feat. Gigolo y La Exce, Miky Woodz, Juhn & Baby Angel)",2016
Miky Woodz,hip-hop,"Como Glopeta (feat. Gigolo y La Exce, Miky Woodz, Juhn & Baby Angel)",2016
Juhn,hip-hop,"Como Glopeta (feat. Gigolo y La Exce, Miky Woodz, Juhn & Baby Angel)",2016
Baby Angel,hip-hop,"Como Glopeta (feat. Gigolo y La Exce, Miky Woodz, Juhn & Baby Angel)",2016
Natos y Waor,hip-hop,Carne de cañón,2016
Recycled J,hip-hop,Carne de cañón,2016
Hijos de la Ruina,hip-hop,Carne de cañón,2016
Jarfaiter,hip-hop,Barbie ///M,2016
Boef,hip-hop,Hosselen,2016
Kase.O,hip-hop,Basureta (Tiempos Raros),2016
Cosculluela,hip-hop,Brujería (feat. Lui-G 21 & Ñejo),2016
Lui-G 21+,hip-hop,Brujería (feat. Lui-G 21 & Ñejo),2016
Ñejo,hip-hop,Brujería (feat. Lui-G 21 & Ñejo),2016
Kanye West,hip-hop,Wolves,2016
Kaze,hip-hop,Mientras Esté Yo,2016
Carrion GodBle$$,hip-hop,Let Me,2016
J.Moods,hip-hop,Let Me,2016
Ayax y Prok,hip-hop,Orgullo y prejuicio,2016
Kaze,hip-hop,Nunca Digas No,2016
Ayax y Prok,hip-hop,Polizzia,2016
Beret,hip-hop,Pandora,2016
Dante,hip-hop,Desde Dentro,2016
Soge,hip-hop,Desde Dentro,2016
Beret,hip-hop,Desde Dentro,2016
Kanye West,hip-hop,Fade,2016
Travis Scott,hip-hop,beibs in the trap,2016
Doble Porcion,hip-hop,Par de Pepas,2016
Métricas Frías,hip-hop,Par de Pepas,2016
Mañas Ru-Fino,hip-hop,Par de Pepas,2016
Beret,hip-hop,Un jueves a las cinco,2016
Trap Capos,hip-hop,"Plo Plo (feat. Baby Rasta, Juanka, Ñengo Flow & Pacho)",2016
Noriel,hip-hop,"Plo Plo (feat. Baby Rasta, Juanka, Ñengo Flow & Pacho)",2016
