artist,genre,track_name,year
Jósean Log,indie,Chachachá,2016
Siloé,indie,La Verdad,2016
Viva Suecia,indie,A Dónde Ir,2016
Miss Caffeina,indie,Mira cómo vuelo,2016
Siloé,indie,El Poder,2016
Viva Suecia,indie,Bien por Ti,2016
Sidonie,indie,Carreteras Infinitas,2016
Shinova,indie,Qué casualidad,2016
TV Girl,indie,Cigarettes out the Window,2016
TV Girl,indie,Not Allowed,2016
TV Girl,indie,Loving Machine,2016
Vacations,indie,Young,2016
Siloé,indie,Minas de Sal,2016
Joy Again,indie,Looking Out for You,2016
Ivan Ferreiro,indie,El pensamiento circular,2016
Love of Lesbian,indie,Cuando no me ves,2016
Sidecars,indie,Contra las cuerdas (feat. Leiva) - Acústico,2016
Leiva,indie,Contra las cuerdas (feat. Leiva) - Acústico,2016
Leiva,indie,Monstruos,2016
The Lumineers,indie,Ophelia,2016
Jósean Log,indie,Beso,2016
Cuco,indie,Lover Is a Day,2016
Father John Misty,indie,Real Love Baby,2016
Parcels,indie,Gamesofluck,2016
TV Girl,indie,Taking What's Not Yours,2016
RY X,indie,Only,2016
Jósean Log,indie,Doma,2016
The Lumineers,indie,Cleopatra,2016
Siloé,indie,Invasor,2016
Shinova,indie,Para cambiar el mundo,2016
Sidecars,indie,Los amantes (feat. Iván Ferreiro) - Acústico,2016
Ivan Ferreiro,indie,Los amantes (feat. Iván Ferreiro) - Acústico,2016
Charli xcx,indie,Vroom Vroom,2016
KALEO,indie,All the Pretty Girls,2016
RY X,indie,Berlin,2016
Parcels,indie,Anotherclock,2016
Shinova,indie,Niña kamikaze,2016
Siloé,indie,Contemos Aullidos,2016
Love of Lesbian,indie,I.M.T. - Incapacidad moral transitoria,2016
Sidecars,indie,Dinamita (feat. M-Clan) - Acústico,2016
M-Clan,indie,Dinamita (feat. M-Clan) - Acústico,2016
Tarque,indie,Dinamita (feat. M-Clan) - Acústico,2016
Ruiperez,indie,Dinamita (feat. M-Clan) - Acústico,2016
Viva Suecia,indie,Los Años - Bonus Track,2016
Siloé,indie,Daños Trágicos,2016
SALES,indie,Pope Is a Rockstar,2016
Leonard Cohen,indie,You Want It Darker,2016
BADBADNOTGOOD,indie,Time Moves Slow,2016
Samuel T. Herring,indie,Time Moves Slow,2016
Caamp,indie,All the Debts I Owe,2016
Rozalén,indie,Me Arrepiento (feat. Las Migas & El Kanka) - En Directo,2016
Las Migas,indie,Me Arrepiento (feat. Las Migas & El Kanka) - En Directo,2016
El Kanka,indie,Me Arrepiento (feat. Las Migas & El Kanka) - En Directo,2016
Novo Amor,indie,Alps,2016
Lowswimmer,indie,Alps,2016
RY X,indie,Howling,2016
León Benavente,indie,La ribera,2016
French 79,indie,Lovin' Feeling,2016
Kid Francescoli,indie,Lovin' Feeling,2016
Shinova,indie,Doce meses (El año del maravilloso desastre),2016
Cuco,indie,Amor de Siempre,2016
Jósean Log,indie,La Luna,2016
Frankie Cosmos,indie,Fool,2016
TV Girl,indie,Song About Me,2016
Viva Suecia,indie,Permiso o Perdón,2016
Depedro,indie,Déjalo ir,2016
Shinova,indie,Volver,2016
Two Another,indie,Keeping Me Under,2016
Sidecars,indie,Una eternidad - Acústico,2016
