artist,genre,track_name,year
Bad Bunny,latin,Diles,2016
Ozuna,latin,Diles,2016
Farruko,latin,Diles,2016
Arcángel,latin,Diles,2016
Ñengo Flow,latin,Diles,2016
DJ Luian,latin,Diles,2016
Mambo Kingz,latin,Diles,2016
Anuel AA,latin,Sola (Remix),2016
Daddy Yankee,latin,Sola (Remix),2016
Zion & Lennox,latin,Sola (Remix),2016
Farruko,latin,Sola (Remix),2016
Wisin,latin,Sola (Remix),2016
Bryant Myers,latin,Esclava - Remix,2016
Anuel AA,latin,Esclava - Remix,2016
Anonimus,latin,Esclava - Remix,2016
Almighty,latin,Esclava - Remix,2016
Gente De Zona,latin,La Gozadera (feat. Marc Anthony),2016
Marc Anthony,latin,La Gozadera (feat. Marc Anthony),2016
Anuel AA,latin,No Love,2016
Spiff TV,latin,No Love,2016
Arcángel,latin,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),2016
Bad Bunny,latin,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),2016
Mambo Kingz,latin,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),2016
DJ Luian,latin,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),2016
Maluma,latin,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",2016
Trap Capos,latin,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",2016
Noriel,latin,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",2016
Bryant Myers,latin,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",2016
Juhn,latin,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",2016
Trap Capos,latin,Diablita (feat. Anuel AA & Baby Rasta),2016
Noriel,latin,Diablita (feat. Anuel AA & Baby Rasta),2016
Anuel AA,latin,Diablita (feat. Anuel AA & Baby Rasta),2016
Baby Rasta,latin,Diablita (feat. Anuel AA & Baby Rasta),2016
Bad Gyal,latin,Fiebre - Prod. King DouDou,2016
C. Tangana,latin,Antes de Morirme - feat. ROSALÍA,2016
ROSALÍA,latin,Antes de Morirme - feat. ROSALÍA,2016
