id_artist,artist,bio,listeners,playcount,similar_artist
cf1846e1-5c29-46c2-bfdf-4c634a94c9e9,Roy Borland, Read more on Last.fm,13197,154984,Ciutat
5c49f2ed-1371-4a96-b690-e2d255492ed4,León Benavente,"León Benavente is a Spanish indie rock band formed in 2012, born from the collaboration of four seasoned and well-respected musicians in the national scene. Abraham Boba, Luis Rodríguez, Eduardo Baos, and César Verdú, with experience in projects like Nacho Vegas's band, Tachenko, and Schwarz, came together to create their own unique sound. Their style is characterized by rock with dark 80s touches and a distinctive use of synthesizers.

Their self-titled debut Read more on Last.fm",31799,864491,Viva Suecia
df36f6db-5987-46ed-9d02-0cf36ed4e060,Vance Joy,"James Keogh, known professionally as Vance Joy, is a singer-songwriter from Melbourne, Australia . His debut EP God Loves You When You're Dancing was released in March 2013. The single ""Riptide"" became a success on Australian commercial radio and was certified Platinum by the Australian Record Industry Association (ARIA). It was followed up by Dream Your Life Away, his first full-length album, in 2014, featuring the 2 singles from ""God Loves You When Your Dancing"" alongside many new songs Read more on Last.fm",2404000,49272335,The Lumineers
62d364d2-550b-420e-b918-b3bd1e4a2efc,Broken Bells,"Broken Bells is an American indie rock duo which formed in 2009 in Los Angeles. The band consists of James Mercer (vocals, guitar) and Brian ""Danger Mouse"" Burton (multiple instruments, production). Mercer is a member of the indie rock band The Shins and Burton is a member of Gnarls Barkley and Dangerdoom, as well as being a respected producer for such artists as Beck, Gorillaz, The Rapture and The Black Keys.

The debut self-titled album by Broken Bells was released on Columbia Records on March 9, 2010. Read more on Last.fm",1387028,34661033,The Shins
f077dcb1-d53b-4674-8a91-079c2db02e7c,James Mercer,"James Mercer is currently the lead singer/songwriter for the Shins and Broken Bells, a project with DJ Danger Mouse (Gnarls Barkley, producer of Beck and Gorillaz). Prior to The Shins and Broken Bells, he was the lead singer/songwriter of Flake, which later became Flake Music.

There is a rare solo recording on January 7, 2004 of Mercer doing some private recordings of hit songs by his band The Shins for a radio station.

 Read more on Last.fm",27813,248874,Love As Laughter
f07a2fca-e37b-4f1b-bae0-9e49b8a0b412,Naomi Wild,"Los Angeles-based singer/songwriter Naomi Wild got her start as featured vocalist on a handful of electronic pop hits before making her solo debut in 2017. With R&B, dance, and hip-hop influences, Wild began songwriting in college, reaching out to other songwriters and producers over the Internet with vocals recorded on her smartphone. In 2016, she caught the attention of Tim Legend, who recruited her for his song ""Hope."" Electronic duo ODESZA were the next artists to hear her airy vocals. Read more on Last.fm",37391,252684,Cassie Marin
ca109ea2-c739-4dce-9e3a-bfb0524c7ca0,Yudi Saint X,"After collaborating with Lildami  on 'Valentina', Yudi Saint X (Terrassa, 1997) gave a hint of her own musical direction with the advance 'El ciclo de la vida'  to her first EP Selva, Hidden Track Records (2020). The seven track EP also features a collaboration with Sr. Chen: 'Veranoche'. Read more on Last.fm",698,6748,Sr. Chen
9f81247f-7f57-42f3-a8ba-75bef554e591,Big Thief,"Big Thief is an American indie rock band with folk roots. The band is based in Brooklyn, New York, and comprises Adrianne Lenker, Buck Meek, and James Krivchenia.
Big Thief's music, rooted in the songs of Adrianne Lenker, paints in vivid tones ""the process of harnessing pain, loss, and love, while simultaneously letting go, looking into your own eyes through someone else's, and being okay with the inevitability of death,"" says Adrianne.

 Masterpiece Read more on Last.fm",1625085,117556612,Adrianne Lenker
3d2d18dd-95fe-4389-9c8d-6721ace4bf1d,Darius,"There is more than one artist named Darius:
(1) French house artist from France.
(2) Soft-pop singer from Scotland.
(3) Neo-progressive rock band from Germany.
(4) A psychedelic artist from the U.S.
(5) An alias of Emma Essex under the Halley Labs label.

(1) 
Darius (a.k.a. Terence N'guyen) is a French producer from Paris. His preferred genres usually range between house and disco, though many have pinpointed his sound in the ""French touch"" category. Read more on Last.fm",439237,5189262,The Queenstons
83de9ebc-4914-4fa7-a113-cb400ea8de96,George Ogilvie,George Ogilvie is a British singer-songwriter from Canterbury. Read more on Last.fm,129462,1077195,Dustin Tebbutt
b6e08f19-dca8-4009-aefe-9feb9f1aa1f2,Roméo Elvis,"
Read more on Last.fm",87211,2274085,Lomepal
6d16480b-4313-4ab0-88d2-f34aa1701cef,Caloncho,"Óscar Alfonso Castro (born December 20, 1986 in Obregón, Sonora), better known as Caloncho, is a Mexican musician and singer.

As a child, Caloncho lived in Guadalajara where his favorite activity was playing the drums, until he later decided to experiment with melody. At the same time, he started playing the guitar that his grandfather had left for him years before, and soon learned to play songs from artists such as Bob Marley and Sublime.

Based on his own confession Read more on Last.fm",146736,2591636,Little Jesus
94c64122-dbd4-4927-b2fa-f204b0b4b0c2,Ravyn Lenae,"Ravyn Lenae Washington (born January 22, 1999) is an American R&B singer-songwriter from Chicago who is currently signed to Atlantic Records and the Three Twenty Three Music Group. She is also a member of the musical collective Zero Fatigue. Her debut EP, Moon Shoes EP, was released independently in 2015 and reissued by Atlantic Records in 2016. Her follow-up EP, Midnight Moonlight EP, was released in 2017. In addition to performing at several music festivals, Lenae has also toured with SZA on her Ctrl Tour and Noname on her Telefone Tour. Read more on Last.fm",1642057,43067062,Solange
5076ae9f-98a7-4928-946f-6807c8c1a06c,Franco126,"Franco126, pseudonym of Federico Bertollini, is an Italian singer-songwriter and rapper born in Rome on 4 July 1992.
He's a member of the “126” (also known as “CXXVI” in Roman numerals) musical collective, hence the suffix he shares with other members. Read more on Last.fm",41767,2130617,Frah Quintale
34badc4c-97cd-434a-8aba-5d7ce8b883d8,Voilaaa,Lyon France based African funk and disco music project. Produced by Bruno Hovart Read more on Last.fm,48018,335548,Vaudou Game
83cedfd0-a118-48eb-ad71-72f4c2f95fd2,Djo,"Djo is the musical moniker of American actor/musician Joe Keery, known for his role of Steve Harrington in the hit Netflix show Stranger Things, as well as being a former member of Chicago psychedelic rock band  Post Animal. On September 13th 2019, he released his debut album 'Twenty Twenty', which was supported by the singles ""Roddy"", released July 19, 2019,  ""Chateau (Feel Alright),"" August 9, 2019, and ""Mortal Projections,"" August 30, 2019. 

DECIDE Read more on Last.fm",2258532,87656626,Post Animal
