id_artist,artist,bio,listeners,playcount,similar_artist
c1a3132a-c23e-4283-8f9a-4080dc52a177,Rels B,"Daniel Heredia Vidal, conocido profesionalmente como Rels B, es un rapero, compositor y productor musical español. Se le considera uno de los grandes valores de la nueva ola del hip hop español. Read more on Last.fm",397075,26845152,Cruz Cafuné
c3da3346-2643-48a7-93cd-011f6834b3d7,Sean Paul,"Sean Paul Ryan Francis Henriques OD (born 9 January 1973) is a Jamaican dancehall singer and rapper. He released his first album, ""Stage One"", in 2000 and achieved international recognition with his second album, ""Dutty Rock"", in 2002. The album's single ""Get Busy"" reached number one on the US Billboard Hot 100 chart, as did ""Temperature"" from his third album, ""The Trinity"" (2005).

Paul is sometimes referred to by the nickname ""Chanderpaul"", derived from the similarity between his first two names and those of cricketer Shivnarine Chanderpaul. Read more on Last.fm",3141707,48481546,Kevin Lyttle
e5a1e5fa-fd7e-4e10-aa84-f51cbdb1e3fd,Bardero$,"C.R.O también pertenece al dúo BARDERO$ junto a HOMER EL MERO MERO, otro reconocido rapero de la escena.

En 2014, C.R.O y HOMER deciden formar BARDERO$, proyecto con el cual desembarcan en Buenos Aires.

Luego de dos años de intenso trabajo, varios discos publicados e incontables shows alrededor del país y países limítrofes, BARDERO$ logra proyectarse como una de las grandes promesas de la escena urbana hispanoparlante. Durante los próximos meses, C. Read more on Last.fm",59982,3827063,Homer El Mero Mero
f9649c22-eb0d-4d4a-9c87-0364c59b99a5,Kiubbah Malon, Read more on Last.fm,5566,29921,Drizzy MC
a1d58646-c58c-43c0-885b-0bd02182f48f,DICC, Read more on Last.fm,6216,44554,Juanih South
cdfa25d4-b9fa-4e99-a163-18fddf7d514f,Descemer Bueno,"Descemer Bueno (b. 1971, Habana Vieja) is a Cuban singer, composer, and producer. His first professional gigs were playing bass with Santiago Feliu, one of Cuba’s greatest troubadours.

Bueno studied music in Cuba and became a music teacher before forming his jazz combo band Estado de Animo in 1990, which also included guitarist Elmer Ferrer and trumpeter Roberto Carcasés. His band encountered some success during the 90’s touring in Spain, Bolivia, Uruguay, Germany, and Argentina. Read more on Last.fm",22895,136939,Kelvis Ochoa
c0c401e0-eb84-4266-9ccb-9160988e7a8e,Offset,"Kiari Kendrell Cephus (born December 14, 1991), known professionally as Offset, is an American rapper. He is best known for being a member of the Lawrenceville, Georgia-based hip-hop trio Migos. Formed with fellow rappers Quavo and Takeoff in 2008, the group released four commercially successful studio albums—Yung Rich Nation (2015), Culture (2017), Culture II (2018) and Culture III (2021)—before disbanding in 2023.

As a solo act, he first released Read more on Last.fm",1449319,45016643,Quavo
44869536-0262-4f22-9c23-b4821c13cd97,Duki,"Mauro Ezequiel Lombardo Quiroga, conocido artísticamente como Duki, es uno de los artistas más influyentes y populares en la escena del trap y la música urbana en Argentina y América Latina. Nació el 24 de junio de 1996 en Almagro, Buenos Aires.

Inicios en la música

Duki empezó a ganar notoriedad en la escena del freestyle argentino, particularmente en la competencia ""El Quinto Escalón"", junto a otros artistas emergentes como Ysy A y Neo Pistea. Read more on Last.fm",292253,41780596,Ysy A
d95a4680-1337-4132-b0bf-7750e1098eca,Mark B.,"Hailing from San Ramon, Mark B. has a unique and unusual sound that catches the ear everytime. Somewhere between Acoustic, Punk, Folk and Emo his music can not be placed within one genre. It would be expected his sound would be unorganized and all over the place, yet somehow its always recognizable. You may not find any music by him at your local record store but his stuff can be found online in various places (including Itunes).

Mark B. is currently with Agent Records.   


-Matthew Taylor  Read more on Last.fm",45862,220651,Kelmitt
ce1d66d7-a512-45aa-8db8-b018e565b657,Lenuel, Read more on Last.fm,4046,26823,Sinfonico
0f00e1ec-9702-45d8-82bd-1641268a968a,Mora,"There are at least two artists with the name Mora, one being a Puerto Rican singer and the other being a Slovenian metal band.

1) Mora is a Puerto Rican singer and producer.

2) MORA had their first appearance in the metal world on November 23rd 2007, when they introduced themselves for the first time to their home crowd after just a few weeks of practice. Then with Jupoll (Vocals, Guitar), Nazgul (Guitar), Scavenger (Bass, Back Vocals) and Zli (Drums). Read more on Last.fm",439952,38970218,JHAYCO
