mbid,artist,bio,listeners,playcount,similar_artist
a6d4c9c7-2459-4754-8956-5c41cdce2d23,Saske,"Ο Saske (πραγματικό όνομα: Βλάσης Οδυσσέας Ντζιμάνης - Μυτιλήνη, 14 Απριλίου 1998) είναι Έλληνας ράπερ με καταγωγή από τη Χρυσούπολη Καβάλας. Αποτέλεσε ένα από τα ιδρυτικά στελέχη της ανεξάρτητης δισκογραφικής εταιρείας Offbeat Records ενώ μέχρι σήμερα έχει κυκλοφορήσει χρυσά Read more on Last.fm",21746,2365109,Sidarta
f83c5385-84ae-413c-8057-18d2f4fcac67,Kalash Criminel,"Kalash Criminel is a French rapper of Congolese descent. He started rapping in a group called Hall 14, releasing their first album in 2012. He was spotted by Kaaris in 2016 and they released a single together which kick-started Kalash Criminel's career. He then released his first album R.A.S. in late 2016 and his second album Oyoki in 2017.

Kalash Criminel is albino and wears a balaclava to conceal his identity. Read more on Last.fm",56796,1965350,Kaaris
217c844d-dc5c-439d-b27a-a227ff3039bb,Josylvio,"Joost Theo Sylvio Yussef Abdel Galil Dowib (Naarden, 14 april 1992), bekend onder zijn artiestennaam Josylvio, is een Nederlands rapper.

Biografie
Josylvio werd geboren in Naarden als de zoon van een Nederlandse moeder en een Egyptische vader. In 2015 deed hij een Zonamo-sessie onder de naam Jaybay. In 2015 bracht hij de single Le7nesh uit (met Sevn Alias). Het was de aanleiding voor het album Ma3seb, dat hij samen met hiphopproducent en jeugdvriend[1] Esko uitbracht. Read more on Last.fm",51859,3143066,Sevn Alias
96cf8760-18ee-443e-b950-4a219e55e443,VETO,"There are 4 artists with this name:

1) Veto is a Danish indie rock band formed in 2004. They released their first EP, I Will Not Listen, in 2005 and their first full-length album, There's a Beat in All Machines, in 2006, both released on the Danish hip hop label, Tabu Records/Playground Music Denmark.

In February 2007 Veto won the award for Best New Act, as well as Best Danish Music Video at Danish Music Awards. Their song ""You Are a Knife"" was featured briefly in the American television program NCIS episode ""Suspicion"". Read more on Last.fm",131063,4085912,Turboweekend
ed5c0b54-0fd1-4076-aa45-f876f2081669,Khaotic,"Created in june 2012 by D. Profaner, Khaotic is not only a project, but a very personal art in music form, it was created to express deep feelings and thoughts about the obscure, the human weakness and total hatred and repudiation to christianity. Khaotic came to praise the true darkness, unmask the lies, to defy those who are submissive to the farce, to fight against alienation, to desecrate the word of god. Read more on Last.fm",1871,9691,Luvart
1f5673dc-cef7-4d07-8bef-a96f0eeb81d8,Plutonio,"João Ricardo Azevedo (born 28 June 1985), mostly known for his stage name Plutónio or Plutonio, is a Portuguese rapper and hip-hop singer. Read more on Last.fm",26255,1948709,Dillaz
d1689304-23ac-4eae-a147-bd2e4100581a,Prince Royce,"Geoffrey Royce Rojas was born and raised in the Bronx, New York. His parents are both from the land of bachata, The Dominican Republic. His parents got divorced, so it was just him, his mom, and siblings. Geoffrey loved singing, so one day he asked permission to remake the song ""Stand By Me"". After that song the record company signed him, and he makes many songs. His two popular songs are ""Stand By Me"" and ""Corazon Sin Cara"". He has won two Latin Grammy Awards! Read more on Last.fm",734653,14099947,Romeo Santos
a0aab79a-4515-4c3a-a708-49277b4f06ce,DJ Sem, Read more on Last.fm,11814,87523,Basada
5fb797a5-523f-431f-9d83-4d72ab1daead,CISKO, Read more on Last.fm,311,2139,Drupey
bce2c380-ef99-4c34-80dc-ad04b490d3b1,JAY1,"Jason Andrè Juami (born 27 January 1998), better known by his stage name Jay1 (stylised as JAY1), is a British rapper and songwriter who is from Coventry. He is of Congolese ancestry. He has had two top 20 singles in the UK.

Jay1 is best known for his single ""Your Mrs"", which was released in March 2019. He released his debut EP titled One Wave on 4 July 2019. Read more on Last.fm",154898,2348040,AJ Tracey
01ece22c-de66-4513-ad11-6d47825c6168,Caroline Smith,"Merging ’90s R&B and neo-soul with her indie-rock roots, Caroline Smith‘s new music has settled comfortably into a new backdrop as she takes a step from girl to woman. Half About Being a Woman is a record about self-acceptance and growing into yourself; it’s about going back to the roots of ‘feel-good’ music. “I wanted to find my way back to the reason why I started playing music in the first place,” says Smith. “Over the last year I began to embrace that being a strong Read more on Last.fm",27092,233151,Ruby the Rabbitfoot
c6390b3d-e0c9-454d-813b-2a8d8bdddaf8,Atchi, Read more on Last.fm,279,10302,Novem
f5dfa020-ad69-41cd-b3d4-fd7af0414e94,Wiz Khalifa,"Cameron Jibril Thomaz (born September 8, 1987 in Minot, North Dakota), better known by his stage name Wiz Khalifa, is an American rapper based in Pittsburgh, Pennsylvania, signed to Rostrum Records. According to the Black and Yellow Songfacts, his stage name is derived from khalifa, an Arabic word meaning ""successor"", and wisdom. His nickname growing up was ""Wizard"" which was shortened to Wiz when Khalifa was fifteen.

In 2005 he released his first official mixtape Read more on Last.fm",3851111,87867946,Juicy J
