artist,bio,listeners,playcount,similar_artist
Nio Garcia,"Luis Antonio Quiñones García conocido por su nombre artístico Nio García es un cantante, compositor y bailarín puertorriqueño.​​ Read more on Last.fm",379800,5586014,Anuel AA
"Franco ""El Gorilla""", Read more on Last.fm,63026,564845,"Tito ""El Bambino"""
Rels B,"Daniel Heredia Vidal, conocido profesionalmente como Rels B, es un rapero, compositor y productor musical español. Se le considera uno de los grandes valores de la nueva ola del hip hop español. Read more on Last.fm",397075,26845152,Cruz Cafuné
Oken, Read more on Last.fm,13753,105269,Green Cookie
Sean Paul,"Sean Paul Ryan Francis Henriques OD (born 9 January 1973) is a Jamaican dancehall singer and rapper. He released his first album, ""Stage One"", in 2000 and achieved international recognition with his second album, ""Dutty Rock"", in 2002. The album's single ""Get Busy"" reached number one on the US Billboard Hot 100 chart, as did ""Temperature"" from his third album, ""The Trinity"" (2005).

Paul is sometimes referred to by the nickname ""Chanderpaul"", derived from the similarity between his first two names and those of cricketer Shivnarine Chanderpaul. Read more on Last.fm",3141707,48481546,Kevin Lyttle
Bardero$,"C.R.O también pertenece al dúo BARDERO$ junto a HOMER EL MERO MERO, otro reconocido rapero de la escena.

En 2014, C.R.O y HOMER deciden formar BARDERO$, proyecto con el cual desembarcan en Buenos Aires.

Luego de dos años de intenso trabajo, varios discos publicados e incontables shows alrededor del país y países limítrofes, BARDERO$ logra proyectarse como una de las grandes promesas de la escena urbana hispanoparlante. Durante los próximos meses, C. Read more on Last.fm",59982,3827063,Homer El Mero Mero
Kiubbah Malon, Read more on Last.fm,5566,29921,Drizzy MC
D-Enyel, Read more on Last.fm,3883,18633,Los de la Nazza
DICC, Read more on Last.fm,6216,44554,Juanih South
Descemer Bueno,"Descemer Bueno (b. 1971, Habana Vieja) is a Cuban singer, composer, and producer. His first professional gigs were playing bass with Santiago Feliu, one of Cuba’s greatest troubadours.

Bueno studied music in Cuba and became a music teacher before forming his jazz combo band Estado de Animo in 1990, which also included guitarist Elmer Ferrer and trumpeter Roberto Carcasés. His band encountered some success during the 90’s touring in Spain, Bolivia, Uruguay, Germany, and Argentina. Read more on Last.fm",22895,136939,Kelvis Ochoa
Offset,"Kiari Kendrell Cephus (born December 14, 1991), known professionally as Offset, is an American rapper. He is best known for being a member of the Lawrenceville, Georgia-based hip-hop trio Migos. Formed with fellow rappers Quavo and Takeoff in 2008, the group released four commercially successful studio albums—Yung Rich Nation (2015), Culture (2017), Culture II (2018) and Culture III (2021)—before disbanding in 2023.

As a solo act, he first released Read more on Last.fm",1449319,45016643,Quavo
Duki,"Mauro Ezequiel Lombardo Quiroga, conocido artísticamente como Duki, es uno de los artistas más influyentes y populares en la escena del trap y la música urbana en Argentina y América Latina. Nació el 24 de junio de 1996 en Almagro, Buenos Aires.

Inicios en la música

Duki empezó a ganar notoriedad en la escena del freestyle argentino, particularmente en la competencia ""El Quinto Escalón"", junto a otros artistas emergentes como Ysy A y Neo Pistea. Read more on Last.fm",292253,41780596,Ysy A
Mark B.,"Hailing from San Ramon, Mark B. has a unique and unusual sound that catches the ear everytime. Somewhere between Acoustic, Punk, Folk and Emo his music can not be placed within one genre. It would be expected his sound would be unorganized and all over the place, yet somehow its always recognizable. You may not find any music by him at your local record store but his stuff can be found online in various places (including Itunes).

Mark B. is currently with Agent Records.   


-Matthew Taylor  Read more on Last.fm",45862,220651,Kelmitt
Lenuel, Read more on Last.fm,4046,26823,Sinfonico
Mora,"There are at least two artists with the name Mora, one being a Puerto Rican singer and the other being a Slovenian metal band.

1) Mora is a Puerto Rican singer and producer.

2) MORA had their first appearance in the metal world on November 23rd 2007, when they introduced themselves for the first time to their home crowd after just a few weeks of practice. Then with Jupoll (Vocals, Guitar), Nazgul (Guitar), Scavenger (Bass, Back Vocals) and Zli (Drums). Read more on Last.fm",439952,38970218,JHAYCO
Tyga,"Micheal Ray Stevenson (born November 19, 1989 in Compton, California), better known by his stage name Tyga, is an American hip hop artist signed to Lil Wayne's Young Money Entertainment and Decaydance. He is of Vietnamese and Jamaican descent.  He is the cousin of Travis McCoy, lead vocalist of the group Gym Class Heroes. 

In 2006 he released his first mixtape, Young on Probation, and released his debut studio album, No Introduction, in 2008. He has since released a further mixtapes Read more on Last.fm",2731777,37966390,Kid Ink
León Larregui,"León Rubén Larregui Marín (born December 1, 1973, in Cuernavaca, Morelos, Mexico) is a singer, songwriter, and producer, best known as the lead vocalist of the Mexican band Zoé.

As a solo artist, he has recorded three albums: in 2012, he released his album ""Solstis,"" and four years later, in 2016, he released the album ""Voluma."" A year after releasing his album ""Voluma,"" he would reunite with the band Zoé to create the album ""Aztlán"" and release it in 2018. Read more on Last.fm",271320,8230934,Zoé
Alexio, Read more on Last.fm,45674,297128,Farina
Sammy Baby, Read more on Last.fm,255,473,Laura Mb
Musicologo The Libro, Read more on Last.fm,10665,73600,El Mayor Clasico
Kosa,"Raw Black Metal one man band from Ukraine with misanthropic and antichristian ideology. 

Kosa is a not a side project of Lutomysl. According to the label's (Propaganda) statement Kosa member (Vjacheslav Novitskiy) didn't have and doesn't have any other bands or projects.

 Read more on Last.fm",26970,522810,U108
Los Flechazos, Read more on Last.fm,16788,191660,Cooper
Pipo Beatz, Read more on Last.fm,19838,322462,El Bugg
Elisabeth Roma, Read more on Last.fm,85,1518,Vesna Caceres
Plan B,"There are several artists and bands with this name:

1) Plan B (real name Ben Drew, b. 1983) is a rapper from Forest Gate, London. From the age of 11 he attended Anglo European School in Ingatestone Essex, before transfering to Tom Hood, an inner-city comprehensive. He has described his character, in these school days, as ""a bit of a cunt"". He is signed to 679 Recordings, home to UK rap act The Streets. His unique sound is characterised by his use of acoustic beats and lyrics involving drugs, rape, murder and underage sex. Read more on Last.fm",1282047,30148699,Don Omar
Wolfine,"Andrés Felipe Zapata Gaviria, who performs under the name Wolfine, is a Colombian singer and composer. Beginning in the 1990s, he has recorded with international artists such as Ñengo Flow, Julio Voltio, Kafu Banton, King Chesta, Thirstin Howl, among others.

After several years away from music, Wolfine returned in 2017 with ""Bella"", a hit single that became a viral success globally, gaining over 300 million streams on Spotify and 790 million views on YouTube, making it his most commercially successful song throughout his career. Read more on Last.fm",163071,1440605,Dalmata
Towy, Read more on Last.fm,462,1964,Juanka
GIMS,"Gandhi Bilel Djuna (born 6 May 1986), better known by his stage name Maître Gims  and more recently just Gims, is a Congolese-French singer-songwriter and rapper. He grew up in France and currently lives in France and Morocco. He is a former member of the hip hop group Sexion d'Assaut and released his first major album, Subliminal in 2013. The album sold over a million copies in France and peaked at number two in the Syndicat National de l'Édition Phonographique. Read more on Last.fm",402307,12016603,Sexion d'Assaut
El Yman, Read more on Last.fm,3608,30803,El Perla
Anitta,"Larissa de Macedo Machado, known professionally as Anitta, is a Brazilian singer, songwriter, dancer, businesswoman, and TV presenter. She rose to national fame with the release of her single ""Show das Poderosas"" in 2013.

After achieving commercial success with her debut single ""Meiga e Abusada"" in 2012, she signed a recording contract with Warner Music Brazil in January 2013. In July of the same year, she released her self-titled debut album which produced four successful singles and was certified platinum in Brazil. Read more on Last.fm",1190373,153163994,Luísa Sonza
Sinfonico, Read more on Last.fm,5588,38238,Sou El Flotador
Jacob Forever, Read more on Last.fm,56546,390347,Gente de Zona
O'Neill, Read more on Last.fm,3226,16137,Mr. Quark
Gigolo Y La Exce, Read more on Last.fm,74995,751578,Brytiago
Mambo Kingz, Read more on Last.fm,73297,446243,Sammy & Falsetto
Jarabe De Palo,"Jarabe de Palo (literally ""Wooden Stick Syrup"" or, after the Spanish expression ""dar un jarabe de palo"", i.e. a ""hell of a beating""), was a Spanish rock band founded in 1996. The group was led by singer, songwriter, and guitarist Pau Donés, whose death in 2020 caused the band to break up.

Pau Donés, born and raised in Barcelona, worked for various groups before being able to take on his current project, Jarabe de Palo. He began at age 15 with his brother Marc, with whom he formed a group known as J. Read more on Last.fm",579098,9683072,Estopa
Beret,"Beret could refer to three artists:
One is a Spanish singer (Javier Beret). Beret is the new sensation of the urban Spanish music. With only 20 years old he has already published three albums and reached 64 million views in his Youtube channel. He offers something different mixing reggae, rap and dancehall. 

One is a ""French Hardcore"" band from the United States.

The other is a Japanese Jazz Band.  Read more on Last.fm",108966,2779835,Babi
