id_artist,artist,bio,listeners,playcount,similar_artist
24ec58e8-9d3f-482f-a07d-0ea11c2ffcd5,Jay Wheeler,"Reggaeton singer from Puerto Rico.  According to an article by Natacha Andueza:

""Jose Angel Lopez Martinez started singing in a church, where he played the piano and then began creating all types of beats with his computer. Wheeler was too scared and shy to sing due to bullying while he was in school. He felt insecure and did not want to show off his talents.

A few years later, everything changed, he fell in love and had to deal with heartbreak. Read more on Last.fm",268418,5688216,Alex Rose
2deb0058-8571-4f57-8470-1e63cdc9ef98,Cosculluela,"Born in Humacao, Puerto Rico, Jose Cosculluela a.k.a Cosculluela discovered at a young age that his passion was music. He got into rap music at age 12, listening to cassettes from Vico C and singing his songs. After listening to the underground album Playero 37, he and his brother bought some recording equipment and he knew at that moment that the only thing he ever wanted to do was music. He started writing, recording and selling underground mixed cassettes in Humacao, meeting new friends and eventually formed the group KnockOut Trax. Read more on Last.fm",302177,5000240,Kendo Kaponi
ae44dccd-8fdc-42ff-84a6-2a0549bacca4,Abraham Mateo,"Abraham Mateo (born in San Fernando (Cadiz), Spain on August 25, 1998) is a Spanish teen actor and pop singer. Abraham was discovered in 2009, when he was ten, by producers of the record label EMI Music Spain, who happened across Abraham's videos in Youtube and his multiple performances in the television show Menuda Noche on the Canal Sur TV of Andalucia, Spain. His self-titled debut album, Abraham Mateo, was released in Spain in December 2009. The album was produced by the spanish composer and producer Jacobo Calderon Read more on Last.fm",167459,2683243,Vicco
f4d7f8aa-8f38-41cd-bc57-e214cfe2982f,Dayme y El High, Read more on Last.fm,37139,259309,RONALD EL KILLA
de22adae-f8ac-414f-b653-b0162611bd60,KAROL G,"Carolina Giraldo Navarro, professionally known as Karol G, is a Colombian singer. She is predominantly described as a reggaeton and Latin trap artist but has experimented with a variety of other genres including reggae and sertaneja. In 2018, she won the Latin Grammy Award for Best New Artist and has been nominated for several Billboard Latin Music Awards and Premios Lo Nuestro awards.

Born and raised in Medellín, Giraldo launched her career as a teenager, appearing on the Colombian version of The X Factor at age 14 in 2004. Read more on Last.fm",1408195,73005686,Natti Natasha
965c6053-0bfb-42c1-97e7-84b34218ac53,Super Yei, Read more on Last.fm,132419,1650508,Brytiago
7456e258-77f9-42b2-85e7-0d44e76abe04,091,"091 were a rock band from Granada (Spain) that were active from 1982 to 1996. They published 7 studio albums and a live one. Antonio Arias, bassist for the band, left to create Lagartija Nick in 1991.

Resurrected on 2016! Read more on Last.fm",22189,289691,José Ignacio Lapido
f043a667-d0cc-41ec-b242-22068c5cd736,Joey Montana,"Joey Montana is one of the hottest newe stars of Latin music. At 23 years of age, he has broken ground in Central and South America, Mexico, the United States and Europe. Armed with his lyrical abilities and explosive personality, he is looking to make a name for himself in the ever so popular and growing urban/Latino market, leaving behind his former group of ""La Factoria"". 

His real name is Edgardo Antonio Miranda Beiro, and he was born in Panama City, Panama; on May 3rd, 1982. Read more on Last.fm",157009,1221743,Chino & Nacho
6d744917-187a-450f-a683-e2caa21591a5,Alex Goot,"Alex Goot (sometimes known just as 'Goot') is a one man pop rock / power pop and acoustic band from Poughkeepsie, New York. He provides the vocals, drums, guitars, keyboards & programming for all his songs, some of which are his own written work and others are covers of classic and modern pop songs.

He began recording music in 2004 at the age of 16 and since then has gained popularity from his profiles on websites such as Purevolume and Myspace, Read more on Last.fm",136169,2409780,Tyler Ward
da286874-6e1e-4ca1-bcc9-c275827ac926,Juhn, Read more on Last.fm,55086,648474,Noriel
