id_artist,artist,bio,listeners,playcount,similar_artist
9285e35e-275c-413f-aec5-a7172fb94577,The Mystery Lights,"Founded in California and based in Brooklyn, the Mystery Lights play psychedelia-infused garage rock with a deep reverence for the sounds of the '60s but with a dash of contemporary cleverness and plenty of spirit. Full of guitars simmering in fuzz and reverb, vocals that plead or taunt, melodies that are both driving and trippy, and an abundance of lysergic sound effects, the group made their recording debut with 2009's Teenage Catgirls & the Mystery Lightshow Read more on Last.fm",172155,1568802,The Spyrals
15a44b9b-6d5e-4ad7-b6ed-3c45fdf79ba0,Liam Gallagher,"William John Paul Gallagher (born 21 September 1972) is an English singer and songwriter. He is best known as the lead vocalist of the rock band  Oasis, which he co-founded in 1991. He later fronted the band Beady Eye from 2010 to 2014 before launching a solo career in 2017. Gallagher is regarded as one of the most recognisable figures in British rock music and is known for his distinctive vocal style and outspoken manner.

Gallagher joined a band initially known as the Rain. Read more on Last.fm",392135,12317359,Noel Gallagher's High Flying Birds
311c485b-abc5-4cfc-b6ba-aaeb6bd85726,Marlon,"There are four artists with this name:

1. Marlon (born August 24, 1977 in Cuba) is a Cuban singer, better known as the winner of the third season of Objetivo Fama, a Puerto Rican reality-show -singing talent contest broadcast by Univision Puerto Rico, and Telefutura network in the United States.

Marlon Fernández was born in La Lisa, Cuba in 1977 to José and Raquel Fernández. At the age of 14, he formed a five-piece band that would help him in his future career. Read more on Last.fm",36225,565538,Fran Perea
e49f69da-17d5-4c5c-bac0-dadcb0e588f5,Mark Knopfler,"Mark Freuder Knopfler, OBE (born 12 August 1949) is a British singer, guitarist, composer, songwriter, record producer, and film score composer. He was the lead guitarist, lead singer, and songwriter for the rock band Dire Straits, which he co-founded with his younger brother, David Knopfler, in 1977. He was born in Glasgow but raised near Newcastle upon Tyne, England.

Since Dire Straits disbanded in 1995, Knopfler has recorded and produced nine solo albums and, as with his previous band, produced many hit songs. Read more on Last.fm",830944,24486269,Dire Straits
0ba1966a-e471-4f98-85d7-8ac0c1f836f0,Aterciopelados,"One of the first contemporary successful rock bands in Colombia, Los Aterciopelados is among the Latin American countries' top groups. Formed in 1992 in Bogotá, Colombia, the band has fused its own sound by combining a rock-solid approach and electronics with a variety of Latin American musical traditions including mariachi, bolero, tropical and flamenco. 

Aterciopelados, whose name translates as ""The Velvety Ones,"" was formed by former members of Delia Y Los Aminoacidos -- Andrea Echeverri Read more on Last.fm",295839,4359658,Ekhymosis
112547af-5753-4464-865c-1618c5d471c2,Ginebras,"Ginebras is a Spanish indie rock musical band formed in 2018. Its members are four women: Magüi Berto (voice and guitar), Sandra Sabater (lead guitar), Raquel López (bass) and Juls Acosta (drums).

The group was formed in 2018 at the initiative of Magüi Berto and Sandra Sabater, who studied audiovisual communication at the Complutense University of Madrid and played the electric guitar.
Through an advertisement on Tinder, where they were looking for girls to play bass and guitar. Read more on Last.fm",21680,661644,Cariño
01809552-4f87-45b0-afff-2c6f0730a3be,Elvis Presley,"Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer and actor. Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".

Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old. His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience. Read more on Last.fm",4458537,149963982,Jerry Lee Lewis
cf7560ef-7714-477e-b4cd-59de0a2d11fb,Imelda May,"Imelda Mary Higham (born Imelda Mary Clabby on 10 July 1974), professionally known as Imelda May, is an Irish musician and singer-songwriter. Born and raised in The Liberties area of  Dublin, May began her career in music at age sixteen - performing with a number of local bands and musicians - before forming her own band in 2002. She released her debut studio album, No Turning Back, in 2003 and relocated to London, United Kingdom, with husband and guitarist Darrel Higham after its release. Read more on Last.fm",227891,4433138,The Hillbilly Moon Explosion
0eee89dc-7d86-4a15-97be-011652c49288,Conor Oberst,"Conor Oberst is an American singer-songwriter born February 15, 1980 in Omaha, Nebraska. He began his recording career in 1993 at the age of 13 and has since produced an enormous amount of material. Conor was deeply influenced early on by singer-songwriters David Dondero and Simon Joyner.  His first two albums ""Water"" and ""Here's to Special Treatment"" were both released in 1994. Rolling Stone referred to him as ""rock's boy genius."" His project Bright Eyes, with Mike Mogis and Nate Walcott, produced several critically-acclaimed records. Read more on Last.fm",427605,11606626,Bright Eyes
40de1c05-2a3b-4fab-a7c6-82776c37edfa,Taxi,"There are several artists known as Taxi:

1. Taxi (Gibraltar) Born from the ashes of Gibraltar based Melon Diesel,Taxi was born in 2004 formed by Dylan Ferro(Vocals),Dani Fa (Guitars) and Danny Bugeja (Guitars). Having sold more than a quarter of a million copies in their musical career, Taxi are currently promoting their new album ""MIRANDO ATRAS"",a collection of their greatest hits including 2 new songs and a cover version of Gun..s ""Better Days"" due 9th September. Their album ""Aqui y Ahora""got a Latin Grammy nomination. See www.taxi.com.es Read more on Last.fm",100969,980657,Cargo
4ca783b7-5bf7-4348-b494-46680660050f,Stone Sour,"Stone Sour was an American rock band formed in Des Moines, Iowa, in 1992. The band performed for five years before disbanding in 1997. They reunited in 2000 and since 2015, the group has consisted of Corey Taylor (lead vocals, guitar), Josh Rand (guitar), Christian Martucci (guitar), Johny Chow (bass) and Roy Mayorga (drums). Longtime members Joel Ekman (drums, percussion) and Shawn Economaki (bass guitar) left the band in 2006 and 2011, respectively. Former lead guitarist Jim Root left in 2014. Read more on Last.fm",2053241,69243536,Corey Taylor
b141c415-4203-409c-8b82-96b834e3d38c,All Good Things,"There are more than one band that go by the name of  'All Good Things'. Presently two are mentioned below.

I. All Good Things is an Americana/Bluegrass Duo from Milwaukee, WI. The are: John Petty- vocals, guitar and banjo, and Gina Romantini- violin.


II. All Good Things

Band Members:
    Tim Aquilino, Chris Gallerizzo, John Mullaney
Artist Name:
    All Good Things
Home Page:
    http://www.reverbnation.com/agtband
Active Since:
    07/98
Genres:
    Rock / Blues / Country Rock Read more on Last.fm",130014,1885871,Smash Into Pieces
bcf3ad0b-4eae-4c8b-a292-9f4c573aa27a,Samantha Fish,"Samantha Fish (born 30 January 1989 in Kansas City, Missouri) is an American blues singer-songwriter and guitarist.

Fish, called a Blues prodigy at only 21, has been known to share the stage with several influential blues artists such as Tommy Castro, Tab Benoit, Shirley King, Watermelon Slim, Kenny Neal and Cedric Burnside. Her deceptively mature voice, is sultry and innocent at the same time, while her intense guitar gives her a sound that is a cross between Jonny Lang and Susan Tedeschi. Read more on Last.fm",66734,779209,Joanne Shaw Taylor
aca7a1ca-c19b-42f3-857f-52939c1bbb65,Dani Filth,"Dani Filth (born Daniel Lloyd Davey on July 25, 1973 in Hertford, England) is the lyricist, vocalist and founding member of the British extreme metal band Cradle of Filth.

He married his girlfriend of 14 years, Toni Filth, on October 31, 2005 in Ipswich, Suffolk, England, and the two share a daughter, Luna Scarlett (born February 8, 1999).

He lives in Suffolk, England and is currently working on co-writing a book titled ""The Gospel of Filth"" with Gavin Baddeley. Read more on Last.fm",578,2038,Glen Benton
5d12875c-a197-43b2-8f29-41dc0ad895c3,Lindsey Buckingham,"Lindsey Adams Buckingham (born October 3, 1949) is an American guitarist, singer, composer and producer, most notable for being the guitarist and male lead singer of Fleetwood Mac. As a member of Fleetwood Mac, he was inducted into the Rock and Roll Hall of Fame in 1998. In 2011, Buckingham was ranked 100th in Rolling Stone magazine's, 2011 list of ""The 100 Greatest Guitarists of All Time"". The magazine described him as ""one of the most under-valued visionaries in rock"". Read more on Last.fm",324194,3398657,Christine McVie
9595d3b7-3714-422e-a359-6f0cc5ccf653,Columbia Mills,Columbia Mills is an Irish indietronica duo based in Dublin. Read more on Last.fm,11991,88637,Director
8aa5b65a-5b3c-4029-92bf-47a544356934,Ozzy Osbourne,"Ozzy Osbourne (born John Michael Osbourne in Marston Green, Warwickshire, on 3 December 1948; died 22 July 2025) was an English singer, songwriter, and media personality remembered as the lead vocalist of the heavy metal band Black Sabbath, during which period he adopted the nickname ""Prince of Darkness"". On 5 July 2025, Osbourne performed his final show at the ""Back to the Beginning"" concert event. 

He was inducted into the Rock and Roll Hall of Fame as a member of Black Sabbath in 2006 and as a solo artist in 2024. Read more on Last.fm",3089059,94327385,Black Sabbath
ea99eec5-bd72-4b4f-86e4-54c5a34f7e10,The Heavy,"The Heavy is a soul-influenced indie rock band which formed in Bath, England in 2007. The band consists of Kelvin Swaby (vocals), Dan Taylor (guitar), Spencer Page (bass), Chris Ellul (drums) and formerly, Hannah Collins (keyboards). According to Songfacts, when The Heavy performed How Do You Like Me Now? on Late Night With David Letterman, they so impressed the host that he asked the band to play some more - the first time that's ever happened on the show. Read more on Last.fm",850168,14625165,The Black Keys
6af6e8c9-a075-4682-95c8-90f6578471e5,Arnau Griso,"Arnau Griso parece el nombre de un solo tío pero es una banda formada por Arnau Blanch y Eric Griso. Nos gusta decir que somos una banda porque es tan optimista como llamar orgía al sexo en pareja. Y nosotros somos muy optimistas.

En verano de 2011 colgamos nuestra primera canción a Youtube y 6 años más tarde ya habíamos subido la desbordante cifra de 5. Un no parar de hacer canciones. Lo que realmente era desproporcionado eran los números: 40 millones de streams en todas las plataformas digitales. Read more on Last.fm",17774,316596,Sinsinati
65b83862-32e4-444a-ad59-aa8f4866a0ad,Smash Into Pieces,"Smash Into Pieces is a Swedish rock band formed in 2008 in Örebro.

The band was formed in 2008 by members Benjamin Jennebo, Per Bergquist. Isak Snow, Viktor Vidlund and Chris Adam Hedman Sörbye. They released their first single, ""Fading"" in 2009, the song peaked number 33 in the Swedish singles chart.[1] In 2012 they signed a contract with Gain Music Entertainment which is a part of Sony Music Entertainment. A few months later, during the ""Bandit Rock Awards"" they receive the award for ""Band Revelation of the Year"". Read more on Last.fm",196987,7377208,Apoc
597067b8-ebd6-49eb-8a67-c7a31a692c4f,Night Moves,"Night Moves is an American band from Minneapolis, United States.

For such a patently American locale, the Twin Cities have lacked a remarkable group that evokes the American rock canon in a classic manner for a long time. Enter Night Moves. Formed in 2009 by guitarist and vocalist John Pelant, bassist Micky Alfano and multi-instrumentalist Mark Ritsema, Night Moves is a distinctly original concoction. Their honey-dipped sound seethes with a kind Read more on Last.fm",208999,2233383,Cotton Jones
